Data Type,Query Name,Average,Runs
SQL,Query 6,1.1,"[1.1207411289215088, 1.091477632522583, 1.1251981258392334, 1.1026198863983154, 1.1030476093292236, 1.1150317192077637, 1.0636131763458252, 1.10198974609375, 1.0918760299682617, 1.089646577835083, 1.082554817199707, 1.0936474800109863, 1.1160290241241455, 1.1084580421447754, 1.1176488399505615, 1.0978467464447021, 1.0698673725128174, 1.0759410858154297, 1.1159651279449463, 1.122100830078125, 1.0931601524353027, 1.0814197063446045, 1.0984020233154297, 1.1064352989196777, 1.0839080810546875]"
Pandas (No Column Limiting),Query 6,0.157,"[0.2110426425933838, 0.20883393287658691, 0.2351853847503662, 0.18308782577514648, 0.1715545654296875, 0.14891338348388672, 0.16178321838378906, 0.15470004081726074, 0.14374494552612305, 0.1461944580078125, 0.15058040618896484, 0.1435706615447998, 0.14276647567749023, 0.1423182487487793, 0.1429746150970459, 0.13941693305969238, 0.1319723129272461, 0.14036107063293457, 0.14928078651428223, 0.14620614051818848, 0.155165433883667, 0.1469557285308838, 0.14710450172424316, 0.13686919212341309, 0.1393296718597412]"
Pandas,Query 10,1.37,"[1.6411571502685547, 1.3361895084381104, 1.347214937210083, 1.3554284572601318, 1.319638967514038, 1.3603391647338867, 1.3419160842895508, 1.326528787612915, 1.3356633186340332, 1.3444459438323975, 1.3354527950286865, 1.3179833889007568, 1.3083171844482422, 1.329671859741211, 1.3747384548187256, 1.4285011291503906, 1.4299898147583008, 1.7590508460998535, 1.3329439163208008, 1.3226864337921143, 1.3894097805023193, 1.3376226425170898, 1.3231241703033447, 1.3349206447601318, 1.341667890548706]"
SQL,Query 10,1.76,"[1.7783184051513672, 1.7216684818267822, 1.7213633060455322, 1.7433855533599854, 1.744114875793457, 1.8064172267913818, 1.7364037036895752, 1.7278778553009033, 1.8529434204101562, 1.753645658493042, 1.8189697265625, 2.088096857070923, 1.7244329452514648, 1.724388837814331, 1.7396268844604492, 1.7200744152069092, 1.7359521389007568, 1.7080378532409668, 1.7390549182891846, 1.7011404037475586, 1.7541725635528564, 1.7230772972106934, 1.720691442489624, 1.7431721687316895, 1.7454299926757812]"
Pandas (No Column Limiting),Query 10,1.34,"[1.8953461647033691, 1.343418836593628, 1.3260421752929688, 1.3317046165466309, 1.3169910907745361, 1.325073480606079, 1.294870138168335, 1.3044769763946533, 1.3348021507263184, 1.3082711696624756, 1.315988302230835, 1.3291916847229004, 1.2989888191223145, 1.3179430961608887, 1.311943769454956, 1.296839714050293, 1.3315696716308594, 1.3160030841827393, 1.2869369983673096, 1.3235673904418945, 1.3133509159088135, 1.2988367080688477, 1.3292169570922852, 1.3352265357971191, 1.3186111450195312]"
Pandas,Query 19,0.683,"[1.1797003746032715, 0.7786650657653809, 0.644395112991333, 0.6880707740783691, 0.6528096199035645, 0.6491591930389404, 0.652491569519043, 0.6502315998077393, 0.663952112197876, 0.6594083309173584, 0.6620283126831055, 0.6708934307098389, 0.677931547164917, 0.7199501991271973, 0.6434807777404785, 0.6414430141448975, 0.635775089263916, 0.6403062343597412, 0.6532340049743652, 0.6622533798217773, 0.6574010848999023, 0.6436796188354492, 0.6462805271148682, 0.6492488384246826, 0.655327558517456]"
SQL,Query 19,0.116,"[0.3798832893371582, 0.15626859664916992, 0.14242982864379883, 0.10370278358459473, 0.09555220603942871, 0.10207343101501465, 0.1150350570678711, 0.11107587814331055, 0.11788773536682129, 0.10602259635925293, 0.10388016700744629, 0.10053801536560059, 0.09681463241577148, 0.09590530395507812, 0.10282635688781738, 0.10482001304626465, 0.09992027282714844, 0.11646747589111328, 0.10132670402526855, 0.0895383358001709, 0.10008025169372559, 0.09918713569641113, 0.0913548469543457, 0.09183120727539062, 0.08710432052612305]"
Pandas (No Column Limiting),Query 19,0.673,"[1.0326001644134521, 0.7131142616271973, 0.6690199375152588, 0.6740579605102539, 0.655407190322876, 0.6413311958312988, 0.6544601917266846, 0.661341667175293, 0.6447107791900635, 0.6534481048583984, 0.6576857566833496, 0.64996337890625, 0.6396534442901611, 0.6540565490722656, 0.6588423252105713, 0.6460962295532227, 0.6437926292419434, 0.6403946876525879, 0.6409788131713867, 0.6491801738739014, 0.6393649578094482, 0.6794536113739014, 0.6869411468505859, 0.6790165901184082, 0.6723158359527588]"
Pandas,Query 14,3.54,"[4.0577967166900635, 3.5396037101745605, 3.6059041023254395, 3.5838375091552734, 3.5459320545196533, 3.5311315059661865, 3.687758445739746, 3.487560272216797, 3.472641706466675, 3.535825490951538, 4.129015207290649, 3.433124303817749, 3.5003769397735596, 3.383890151977539, 3.46440052986145, 3.512556791305542, 3.465202569961548, 3.5909042358398438, 3.4326658248901367, 3.3685033321380615, 3.380091428756714, 3.513047933578491, 3.478130578994751, 3.3845067024230957, 3.420956611633301]"
SQL,Query 14,1.12,"[1.1419179439544678, 1.1024169921875, 1.1248300075531006, 1.1012954711914062, 1.1018891334533691, 1.1001627445220947, 1.1164522171020508, 1.1123688220977783, 1.1348919868469238, 1.0988900661468506, 1.1383850574493408, 1.119852066040039, 1.1051969528198242, 1.1099836826324463, 1.1080870628356934, 1.1445486545562744, 1.0925443172454834, 1.0997793674468994, 1.1697375774383545, 1.0975408554077148, 1.133728265762329, 1.1108362674713135, 1.1042289733886719, 1.1007769107818604, 1.1106336116790771]"
Pandas (No Column Limiting),Query 14,3.49,"[4.037841320037842, 3.438417673110962, 3.51247501373291, 3.513331890106201, 3.456082820892334, 3.4565024375915527, 3.3988583087921143, 3.3298182487487793, 3.3320016860961914, 3.6833765506744385, 3.3592448234558105, 3.450958013534546, 3.5074846744537354, 3.4996650218963623, 3.493018388748169, 3.475271463394165, 3.3446614742279053, 3.4609646797180176, 3.648998260498047, 3.463343620300293, 3.611125946044922, 3.572422742843628, 3.319885015487671, 3.4328346252441406, 3.429908514022827]"
Pandas,Query 15,0.311,"[0.5010125637054443, 0.33104491233825684, 0.31507253646850586, 0.33754682540893555, 0.31540751457214355, 0.2992994785308838, 0.28408098220825195, 0.30167698860168457, 0.29662132263183594, 0.2893505096435547, 0.30478453636169434, 0.2954897880554199, 0.29225969314575195, 0.305483341217041, 0.3041517734527588, 0.2974872589111328, 0.31092381477355957, 0.29718661308288574, 0.291614294052124, 0.31273627281188965, 0.29983043670654297, 0.28873324394226074, 0.3136286735534668, 0.30039501190185547, 0.28696537017822266]"
SQL,Query 15,2.34,"[2.382737398147583, 2.2662649154663086, 2.277984142303467, 2.266239643096924, 2.2878992557525635, 2.2438790798187256, 2.2790756225585938, 2.2843616008758545, 2.274188280105591, 2.29176664352417, 2.2681188583374023, 2.288912534713745, 2.263310194015503, 2.2563650608062744, 2.25197696685791, 2.2550034523010254, 2.2760379314422607, 2.365049362182617, 2.623718500137329, 2.259371042251587, 2.2505745887756348, 2.2595813274383545, 2.5618746280670166, 3.203339099884033, 2.2859902381896973]"
Pandas (No Column Limiting),Query 15,0.31,"[0.4166567325592041, 0.3670945167541504, 0.31204915046691895, 0.344271183013916, 0.3098270893096924, 0.30040550231933594, 0.2950265407562256, 0.28296327590942383, 0.3054189682006836, 0.31201720237731934, 0.2884657382965088, 0.3242037296295166, 0.30049896240234375, 0.2857661247253418, 0.3085479736328125, 0.3036308288574219, 0.2877659797668457, 0.30533480644226074, 0.30118536949157715, 0.29352426528930664, 0.3128318786621094, 0.29515504837036133, 0.293332576751709, 0.305950403213501, 0.29660940170288086]"
